patch_num,champ,item_id,purchases
5.11,133,3715,1
5.11,133,3714,2
5.11,133,3710,1
5.11,133,3044,13
5.11,133,3047,2
5.11,133,3046,104
5.11,133,3172,15
5.11,133,3250,245
5.11,133,3251,1
5.11,133,3252,24
5.11,133,3253,2
5.11,133,3254,19
5.11,133,0,472
5.11,133,3280,1
5.11,133,3134,25
5.11,133,3139,20
5.11,133,3035,216
5.11,133,3031,485
5.11,133,3140,13
5.11,133,3141,1
5.11,133,3142,115
5.11,133,3275,4
5.11,133,3272,1
5.11,133,3270,6
5.11,133,3279,1
5.11,133,3026,34
5.11,133,3022,10
5.11,133,1018,33
5.11,133,1011,9
5.11,133,3153,202
5.11,133,3260,1
5.11,133,3265,5
5.11,133,3156,10
5.11,133,3155,7
5.11,133,3269,1
5.11,133,3268,2
5.11,133,3158,5
5.11,133,3508,7
5.11,133,2044,9
5.11,133,2043,1
5.11,133,2041,6
5.11,133,2049,1
5.11,133,3093,41
5.11,133,1006,3
5.11,133,3098,1
5.11,133,1001,42
5.11,133,3267,2
5.11,133,3006,295
5.11,133,3009,2
5.11,133,3211,4
5.11,133,1038,113
5.11,133,3085,22
5.11,133,1033,5
5.11,133,3087,325
5.11,133,3086,56
5.11,133,1036,57
5.11,133,1037,101
5.11,133,3083,4
5.11,133,3082,1
5.11,133,3070,5
5.11,133,3071,29
5.11,133,3072,282
5.11,133,3074,1
5.11,133,3075,3
5.11,133,3077,1
5.11,133,3078,36
5.11,133,3726,1
5.11,133,3284,3
5.11,133,3282,1
5.11,133,3723,1
5.11,133,1031,23
5.11,133,3277,2
5.11,133,1029,8
5.11,133,1028,11
5.11,133,3143,10
5.11,133,3144,29
5.11,133,3067,6
5.11,133,3065,2
5.11,133,3069,2
5.11,133,1051,25
5.11,133,1053,104
5.11,133,1055,315
5.11,133,1057,8
5.11,133,3101,2
5.11,133,3102,15
5.11,133,3056,1
5.11,133,3057,5
5.11,133,3706,2
5.11,133,3707,1
5.11,133,1043,10
5.11,133,1042,40
5.11,133,3117,9
5.11,133,3111,7
5.11,133,3110,1
5.11,133,2003,70
5.11,133,2004,18
5.11,133,3190,1
5.11,131,3715,1
5.11,131,3717,1
5.11,131,3716,14
5.11,131,3710,11
5.11,131,3713,5
5.11,131,3724,187
5.11,131,3041,4
5.11,131,3285,489
5.11,131,3047,6
5.11,131,3258,2
5.11,131,3259,48
5.11,131,3250,1
5.11,131,3255,554
5.11,131,3124,3
5.11,131,3257,1
5.11,131,0,935
5.11,131,2010,15
5.11,131,3135,265
5.11,131,3136,8
5.11,131,3140,3
5.11,131,3143,7
5.11,131,3272,1
5.11,131,3145,8
5.11,131,3270,16
5.11,131,3278,2
5.11,131,3028,4
5.11,131,3027,104
5.11,131,3026,33
5.11,131,3025,14
5.11,131,3024,10
5.11,131,3023,1
5.11,131,3020,529
5.11,131,1011,18
5.11,131,3086,2
5.11,131,1054,2
5.11,131,3153,2
5.11,131,3260,4
5.11,131,3151,12
5.11,131,3157,712
5.11,131,3266,1
5.11,131,3269,1
5.11,131,3158,11
5.11,131,2044,11
5.11,131,2045,1
5.11,131,2043,12
5.11,131,3152,10
5.11,131,3010,4
5.11,131,2049,1
5.11,131,3092,1
5.11,131,3091,1
5.11,131,3096,2
5.11,131,3265,15
5.11,131,1004,1
5.11,131,1001,110
5.11,131,3751,1
5.11,131,3801,1
5.11,131,3800,1
5.11,131,3006,1
5.11,131,3001,486
5.11,131,3003,1
5.11,131,3165,43
5.11,131,3009,1
5.11,131,3211,5
5.11,131,1039,1
5.11,131,3089,516
5.11,131,1033,18
5.11,131,3087,1
5.11,131,1031,23
5.11,131,1037,2
5.11,131,3083,4
5.11,131,3082,4
5.11,131,3070,3
